,s,Correlation between $\mathtt{obs}$ and $\mu$,Correlation between $\mu$ and $\mu-\sigma$,Correlation between $\mu$ and $\mu-2\sigma$,Correlation between $\mu-\sigma$ and $\mu-2\sigma$
Muscle_Skeletal_237,237,0.485,0.998,0.986,0.995
Whole_Blood_237,237,0.485,0.998,0.986,0.995
Skin_Sun_Exposed_Lower_leg_237,237,0.526,0.998,0.986,0.995
Thyroid_237,237,0.534,0.998,0.986,0.995
Lung_237,237,0.542,0.997,0.984,0.994
Muscle_Skeletal_73,73,0.199,0.986,0.875,0.943
Whole_Blood_73,73,0.157,0.984,0.868,0.942
Skin_Sun_Exposed_Lower_leg_73,73,0.185,0.986,0.873,0.941
Thyroid_73,73,0.211,0.987,0.881,0.945
Lung_73,73,0.175,0.986,0.876,0.944
